subid,frame_num,face_openpose,hand_openpose,nose_conf,wrist_conf
161538-Baby_Scene.json,10453,False,False,,
161538-Baby_Scene.json,10454,False,False,,
161538-Baby_Scene.json,10455,False,False,,
161538-Baby_Scene.json,10456,False,False,,
161538-Baby_Scene.json,10457,False,False,,
161538-Baby_Scene.json,10458,False,False,,
161538-Baby_Scene.json,10459,False,False,,
161538-Baby_Scene.json,1046,False,False,,
161538-Baby_Scene.json,10460,False,False,,
161538-Baby_Scene.json,10461,False,False,,
161538-Baby_Scene.json,10462,False,False,,
161538-Baby_Scene.json,10463,False,True,0.0,0.205101
161538-Baby_Scene.json,10464,False,True,0.0,0.2362455
161538-Baby_Scene.json,10465,False,True,0.0,0.136815
161538-Baby_Scene.json,10466,False,False,,
161538-Baby_Scene.json,10467,False,False,,
161538-Baby_Scene.json,10468,False,True,0.0,0.056471
161538-Baby_Scene.json,10469,True,False,0.310889,0.0
161538-Baby_Scene.json,1047,False,False,,
161538-Baby_Scene.json,10470,False,False,,
161538-Baby_Scene.json,10471,False,True,0.0,0.021695425
161538-Baby_Scene.json,10472,False,True,0.0,0.0513185
161538-Baby_Scene.json,10473,True,True,0.447969,0.513634
